,SRS045739,SRS015217,SRS049896,SRS012849,SRS011529,SRS014459,SRS011134,SRS016517,SRS020233,SRS014313,SRS017821,SRS045645,SRS021948,SRS016095,SRS023176,SRS011452,SRS013476,SRS013639,SRS045713,SRS015854,SRS019787,SRS017191,SRS049900,SRS017521,SRS043667,SRS019910,SRS020869,SRS018984,SRS015133,SRS015190,SRS016267,SRS013158,SRS015065,SRS018133,SRS024388,SRS049959,SRS019030,SRS015264,SRS017247,SRS015960,SRS022713,SRS013098,SRS015431,SRS048164,SRS011405,SRS016989,SRS019161,SRS024075,SRS015782,SRS024009,SRS019601,SRS017307,SRS015794,SRS018351,SRS018427,SRS019267,SRS015578,SRS024132,SRS043001,SRS013638,SRS021153,SRS019068,SRS042284,SRS045528,SRS024265,SRS014923,SRS048870,SRS013521,SRS016203,SRS021484,SRS011239,SRS049164,SRS023583,SRS012273,SRS018575,SRS012902,SRS014287,SRS047044,SRS017916,SRS015369,SRS043411,SRS043701,SRS014235,SRS049712,SRS016438,SRS016753,SRS016495,SRS016335,SRS049402,SRS045004,SRS011084,SRS024663,SRS013687,SRS023971,SRS019685,SRS023829,SRS042628,SRS020622,SRS014613,SRS011302,SRS017701,SRS022524,SRS011586,SRS022137,SRS017103,SRS024435,SRS023914,SRS011271,SRS013951,SRS018656,SRS017433,SRS019582,SRS018817,SRS018313,SRS024331,SRS013800,SRS023346,SRS013215,SRS019968,SRS023526,SRS022071,SRS019397,SRS015663,SRS047014,SRS019381,SRS016585,SRS024549,SRS014979,SRS024625,SRS011061,SRS020328,SRS016018,SRS012969,SRS016954,SRS015890,SRS021219,SRS016437,SRS016056,SRS022609,SRS014683,SRS047210,SRS017209,SRS023352,SRS047219,SRS018300,SRS023617,SRS013234,SRS011306,SRS015057,SRS078182,SRS019327,SRS018969,SRS015174,SRS014271,SRS021496,SRS063932,SRS062761,SRS019045,SRS053854,SRS011140,SRS013502,SRS055495,SRS013164,SRS062544,SRS023958,SRS053603,SRS016002,SRS044486,SRS056622,SRS012279,SRS015272,SRS063193,SRS017713,SRS018739,SRS022621,SRS015209,SRS013879,SRS045715,SRS016037,SRS023835,SRS019974,SRS014888,SRS017007,SRS014573,SRS024318,SRS057539,SRS050244,SRS018439,SRS015893,SRS052227,SRS016342,SRS013705,SRS019071,SRS054687,SRS015644,SRS011086,SRS024081,SRS017439,SRS016740,SRS065278,SRS016501,SRS042131,SRS015537,SRS042910,SRS055426,SRS022530,SRS057692,SRS024375,SRS019607,SRS023557,SRS020334,SRS018357,SRS044662,SRS024637,SRS014470,SRS047824,SRS042643,SRS015941,SRS043663,SRS049389,SRS018791,SRS016319,SRS024580,SRS017808,SRS015038,SRS011243,SRS023926,SRS077736,SRS019894,SRS019219,SRS063288,SRS017120,SRS016225,SRS015434,SRS017076,SRS017533,SRS022143,SRS064774,SRS021954,SRS048411,SRS013818,SRS014124,SRS064423,SRS014684,SRS057205,SRS057791,SRS075404,SRS015797,SRS062540,SRS024138,SRS019022,SRS024015,SRS022077,SRS011115,SRS018591,SRS051791,SRS024441,SRS056323,SRS020220,SRS018145,SRS015762,SRS024277,SRS045127,SRS049147,SRS050669,SRS019122,SRS044373,SRS057355,SRS016569,SRS016086,SRS020856,SRS015395,SRS058336,SRS048791,SRS019389,SRS022719,SRS016529
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_thermophilus;t__Streptococcus_thermophilus_LMD-9,,16,2,,,12,3,5,15,,7,2,6,5,,,1,1,,278,1,,29,2,,15,2,6,1,,,1,13,1,,,,7,7,6,,3,3,,,1,4,,,1,1,,,1,86,1,81,26,2,,7,16,1,,1,5,,2,,1,4,6,,16,,16,,,2,,3,,9,4,1,5,4,3,,9,3,,7,,5,1,16,,1,1,17,,4,,120,,,8,36,4,,1,1,4,1,1,,18,,19,,5,2,12,4,,5,2,,,4,,1,12,1,1,,1,,,239,36,497,135,175,90,1284,667,246,378,78,40,598,43,54,,211,5,1212,433,364,3,89,92,14,360,121,1200,87,413,499,45,84,54,290,98,6,79,133,114,837,22,281,170,153,97,211,17,55,6,455,283,25,1220,225,1213,557,240,79,105,431,229,1757,716,270,2,25,278,478,456,539,37,,293,147,510,79,330,301,4,210,535,163,221,251,57,14,446,543,66,64,138,88,94,557,108,111,1071,754,694,561,348,81,103,97,213,56,44,234,319,7,346,390,97,441,313,83,2040,595,392,91,169,62,641,74,575,170,4,1061,267,335,1602,24,486,773,3,471
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_thermophilus;t__Streptococcus_thermophilus_LMG_18311,,,,,,,,3,,,1,,4,3,,,,,,5,,,2,1,6,2,1,7,,1,,,,,,,,,3,1,1,2,1,,,,,,4,,,1,,,12,,11,3,,1,,7,,,,3,,,,,1,,,1,,,,,,,1,1,,1,,1,,,,,,,1,,1,3,3,1,,,1,,,,8,,,,2,1,,,,2,,,,1,,5,,,3,2,,,,1,,,,,1,1,,1,,,,,98,7,145,101,85,30,575,243,121,128,25,8,144,17,24,,80,8,196,169,87,,28,60,2,52,35,494,14,85,593,4,17,22,108,22,4,28,55,48,262,20,39,30,73,55,67,4,19,1,76,94,9,262,58,561,109,82,22,36,185,44,399,171,60,,42,96,113,114,167,21,,127,76,101,19,75,80,7,42,162,64,92,41,12,12,167,144,31,7,54,53,36,241,42,118,273,164,127,87,71,30,81,52,58,31,19,56,72,4,129,106,44,119,70,13,522,396,138,36,72,17,155,32,101,65,5,189,127,89,434,10,201,264,2,218
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_thermophilus;t__Streptococcus_thermophilus_MN-ZLW-002,3,51,6,,13,187,28,43,84,11,25,1,84,45,,,12,23,3,551,4,10,361,25,,100,13,24,8,8,,2,80,,1,5,24,20,76,35,,9,193,2,9,1,4,1,42,10,10,2,10,9,331,9,328,67,7,5,20,363,6,159,2,58,24,15,30,7,6,27,4,48,2,117,24,,10,5,4,11,10,43,1,9,38,24,13,29,23,4,28,1,14,10,104,1,8,9,71,,15,6,573,22,33,45,61,10,1,17,12,51,3,11,1,91,1,104,7,15,84,128,13,2,69,27,1,1,8,9,26,52,1,6,,6,5,18,883,69,1783,933,635,277,3745,1734,972,1452,226,143,1652,218,258,,938,19,4087,1628,1935,6,168,477,39,833,332,4732,192,1132,2304,139,259,240,853,349,32,382,478,584,3404,112,684,455,629,513,622,88,139,17,1161,650,111,2484,594,3355,2063,561,248,269,1775,558,4386,1820,673,2,101,904,1054,1241,1888,181,,1510,599,1370,312,905,854,46,737,2495,433,843,801,331,51,1387,1621,249,267,450,402,254,3202,522,567,2586,1953,2083,1317,1257,226,637,395,554,425,158,446,756,20,1406,1392,402,965,579,299,5217,2614,1067,327,595,289,2465,215,1588,343,21,2581,1580,791,5048,79,1175,1902,7,1944
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_thermophilus;t__Streptococcus_thermophilus_ND03,1,1,2,3,4,10,1,9,11,,4,,11,4,1,,,5,,34,1,,19,4,4,4,14,2,,2,,,6,1,,1,,5,6,1,,2,10,,1,1,2,2,3,1,1,1,1,2,28,1,54,17,,,1,28,1,4,,8,,,1,,5,,,33,,18,,,1,3,,4,2,1,2,,7,2,3,3,,5,4,,5,1,50,,,3,3,,2,4,46,,3,3,9,3,,1,,1,1,1,,6,1,7,4,13,3,6,2,,,4,,,2,,6,3,2,2,,4,3,,404,66,724,479,247,319,2701,638,824,367,113,79,400,86,38,1,291,19,2383,930,311,4,276,183,39,247,167,1669,67,829,1111,76,73,25,630,157,5,88,261,190,1560,22,620,205,261,187,152,23,18,3,397,534,61,1621,148,2869,1193,81,40,72,328,285,1046,270,758,2,83,611,338,176,1287,118,,638,420,666,125,383,329,13,314,1252,214,268,219,141,3,378,209,144,42,245,93,145,1377,64,216,1342,513,1017,954,356,60,588,302,297,228,37,294,117,22,640,753,74,71,49,208,1831,1529,1212,265,455,137,814,205,771,167,4,1290,589,834,986,39,1202,357,4,352
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_uberis;t__Streptococcus_uberis_0140J,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,3,2,,,,70,,,,,,,,,,2,,,,1,,1,,,1,,,,1,,,,1,,,,,,,,,,5,,,1,,,,,,,,,,3,,,,,,,,,,,,177,,,,,,,,,,,,1,1,,,11,,,,,,,,,,,,,1,,,41,4,47,48,26,16,204,42,46,42,14,8,68,37,10,7,48,14,114,80,35,2,12,43,12,30,21,89,14,36,111,18,21,13,36,8,25,15,24,30,62,20,36,33,18,30,21,2,6,4,35,44,5,69,21,379,47,31,6,13,82,15,108,95,38,,23,38,27,26,59,10,,35,21,31,17,16,97,5,55,53,34,23,9,17,17,89,36,11,15,24,23,9,61,31,36,79,58,26,50,52,10,38,10,13,22,10,19,21,13,72,26,30,32,21,17,116,102,45,12,14,10,80,22,22,25,6,45,35,23,114,4,56,49,,85
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Unknown;g__Gottschalkia;s__Gottschalkia_acidurici;t__[Clostridium]_acidurici_9a,,1,,,,,28,,3,,3,,1,,,,3,,,3,,,,3,,,2,,,,,,,,,4,,,,,,,4,,,,3,,9,,,,,,,,1,7,,,4,5,,,,5,,,,,,,,3,,,,1,,,,1,,,,,1,7,1,3,,,,,,,1,,,,2,,1,1,2,2,1,,4,,1,1,,,2,,,,,,2,,1,2,2,,,,,1,52,,1,,,,,,3,,1,10,3,4,3,44,,18,,15,25,1,18,44,4,,12,5,1,10,,,13,27,83,10,18,,1,53,,5,4,17,23,1,45,2,19,19,2,19,90,17,1,6,11,5,,6,,6,89,7,2,,34,8,2,3,,16,,16,5,,38,1,2,,,17,2,,17,4,4,1,7,12,,5,5,11,,1,1,3,,4,1,3,19,77,,,7,6,,4,1,1,,6,100,1,38,65,,2,8,2,78,40,,1,36,,,16,43,3,6,16,17,52,23,20,21,,3,,20,11,1,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Alkaliphilus;s__Alkaliphilus_metalliredigens;t__Alkaliphilus_metalliredigens_QYMF,1,3,7,,9,1,1,1,2,,2,,,2,,,,1,1,5,,1,,3,2,,8,,1,,,,1,1,1,1,3,,1,,,3,5,,,,,,1,4,3,1,2,1,2,1,133,17,,,,11,4,3,,4,,1,,,4,,,3,,,1,,,,,,33,,,1,2,1,,,2,1,,,4,1,,1,,1,,,1,,2,,1,,4,,,3,1,,2,,,,,3,2,,,1,4,,,2,2,,4,,4,,2,,,,,2,,10,1,,9,7,,8,2,11,13,5,7,25,7,5,23,6,,11,1,,7,18,43,5,15,,2,20,,4,1,15,6,2,24,1,18,28,5,10,54,14,1,10,11,6,2,5,,16,18,11,,,11,12,8,,,4,,12,5,,15,3,6,,,15,3,1,14,2,5,2,5,11,,11,2,8,3,2,2,2,,2,2,4,7,26,1,2,6,10,1,9,,,1,10,28,2,34,12,,2,4,1,19,20,,,33,1,4,9,31,3,3,18,11,40,17,10,22,2,6,,11,15,5,1,1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Alkaliphilus;s__Alkaliphilus_oremlandii;t__Alkaliphilus_oremlandii_OhILAs,,8,2,1,1,2,1,6,6,,4,,1,,,,3,4,,4,,,,4,,,1,,2,,,,4,,1,,1,3,1,1,,5,,2,,2,3,1,2,,3,,,,2,1,,5,,1,14,3,,33,,4,,1,,2,,,,4,,,,,,,,1,2,4,1,1,3,4,2,1,21,4,4,,2,,1,1,2,,,,7,1,3,5,1,1,,1,1,1,1,2,1,3,1,,4,6,6,,1,,1,,,1,,2,1,,2,,,3,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus_Arthromitus;s__Candidatus_Arthromitus_sp._SFB-rat-Yit;t__Unknown,,,28,,1,,,1,1,,6,,,,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,,,,1,,1,2,,,,,,,,,,2,20,,,,,1,,,,6,,,,,3,,,79,,,,,,,,,,,,,,,,,,12,,,1,,,,,,,,,,,,,,1,,,,,,3,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_autoethanogenum;t__Clostridium_autoethanogenum_DSM_10061,1,10,,,,9,,,,,,,6,,9,,,9,,1,,4,,1,,,,1,,,3,,10,1,,,,1,,,,1,,,,1,3,1,,1,1,,,,,,48,1,,2,,,18,,,1,,,1,,,,,51,,,,1,,,,2,,3,,2,,2,,,,,1,,,,,,2,,1,,,1,,1,4,1,2,2,,,,3,,1,,,1,1,,,3,,1,,2,16,,,,,,,1,,,,,,,,4,2,,,2,,,,,,,,1,,,,,,,,,1,,,,,,6,,,2,2,,1,,,,,,,,1,,,,,,,,,,,1,,,,,2,,,,1,,,,,,,,,,1,1,,1,,,,1,8,2,1,2,,,,2,,,,,,1,,2,6,,1,,,,,,1,,,,1,,,1,,,,1,,3,,,,,,,1,4,,,,,,,1,1,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_beijerinckii;t__Clostridium_beijerinckii_NCIMB_8052,,1,18,1,14,6,,2,15,4,7,,10,17,,,,,1,8,,,,,,,,1,5,2,,,12,,,1,,,,,,2,4,1,9,3,37,,1,12,1,2,2,,2,1,19,,,,,7,,,,77,,,1,,4,,1,32,,,,1,,,1,,17,8,1,,1,,1,,1,5,1,,,,1,,5,17,,,7,1,2,2,73,12,52,,,3,,,,,,,,28,3,,48,,,,,3,,4,5,1,13,8,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_botulinum;t__Clostridium_botulinum_A2_str._Kyoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_botulinum;t__Clostridium_botulinum_BKT015925,,,,,1,,4,,,1,1,,,,,,17,,,5,,,1,,,,5,,2,1,,,1,,,,,,,,,,2,,,,,,,,,1,,,,,2,43,,,1,,,,,2,13,,,,5,,1,65,,,,,,,,1,,,,,,,,,1,2,,,3,,,,,48,,,1,,,,,2,,,,,,,1,2,,,,,9,,,1,3,,,6,,,,,,,,,,,,,4,,2,5,3,1,,31,6,1,5,,1,5,4,4,4,,2,8,3,,3,8,3,3,20,,30,4,,2,,17,13,22,3,,,6,2,6,28,8,8,1,3,1,8,,,11,11,4,2,,1,2,2,5,,1,,13,3,,7,6,8,4,,2,,,15,6,6,9,,1,1,25,,6,3,,5,1,4,,1,1,,9,,,14,9,2,8,1,5,9,17,3,6,14,1,,8,,5,5,14,5,2,4,2,5,11,1,4,,4,,21,6,7,4,,1,,8,4,3,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_botulinum;t__Clostridium_botulinum_B_str._Eklund_17B_(NRP),,,7,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,1,,,,1,,,,,,,,37,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,1,1,,,,1,13,2,4,,,,,1,,3,6,,15,,7,,,14,,,,7,,,7,,,,,,48,,,1,9,2,9,,,18,27,,6,,50,7,,,,,,,,,19,21,1,,,1,,,1,,,,,1,2,,40,,,,47,,,,1,,,23,,2,,,,,,,,,,,,6,,,,,9,9,,,5,,,47,,2,,,,2,18,,7,,,,4,,2,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_botulinum;t__Clostridium_botulinum_Ba4_str._657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_botulinum;t__Clostridium_botulinum_E3_str._Alaska_E43,,,4,,1,,2,,,,3,,2,,,,,,,2,,,,,,,,,,1,,,2,,,,,,,,,3,2,,,,,,,,,,,,,,2,,1,,,3,,,,2,,,,,,,,143,,,,,,,,,4,,,,,,,,2,2,1,,,,,,,,,,4,3,,1,,6,2,,,,,,1,1,,,,,3,,,,,,,,,,,,3,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,2,,,,,,,1,,,,2,,,,,,,,,1,,,,,,,,,2,,,,,1,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,1,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_cellulovorans;t__Clostridium_cellulovorans_743B,,2,80,1,4,2,1,2,11,,20,1,,2,,1,14,4,,7,,2,,,,,5,,2,4,,2,4,,,,,,,,,,6,1,,,29,1,5,,2,,1,1,,1,51,1,,,,3,,,,8,1,,1,,8,1,2,166,1,,,,,,,2,8,,,,1,1,1,3,6,11,1,,,,1,,,9,1,,4,3,,1,1,11,13,,,7,2,,1,4,,,,3,5,,7,4,1,,,1,,,20,4,14,3,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_ljungdahlii;t__Clostridium_ljungdahlii_DSM_13528,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_novyi;t__Clostridium_novyi_NT,,,,,,,,,4,,,,4,,,,,,,2,,,,,,,3,,,,,,,,2,,,,,3,,1,3,,,,,,,,,,,,,,,,11,,,,,,,,,,,2,,2,3,37,,,,,,,,,2,,,,,6,,,1,1,,,1,,,,,,,,3,3,,10,,5,39,,,,,,,3,,,,,16,1,,5,,1,,,,,1,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_pasteurianum;t__Clostridium_pasteurianum_BC1,,7,29,4,7,14,13,,4,,3,,4,,,,7,20,2,,,,6,6,16,,9,25,13,,,,29,1,1,,1,,,20,,24,1,,,1,17,1,2,1,22,,10,5,10,,11,3,,4,3,1,1,4,1,5,1,,2,1,2,1,2,3,1,,,1,1,,,1,1,,,1,1,,10,3,,22,4,,1,,2,,1,8,,,2,,,3,29,2,4,21,1,,,,,1,,,,3,13,10,13,,,,2,1,,,5,,3,1,1,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_perfringens;t__Clostridium_perfringens_ATCC_13124,,,40,6,656,,,,,,17,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,,1,,4,,7,,,1,,18,1,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,5,,,,,2,,1,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_perfringens;t__Clostridium_perfringens_CPE_str._F4969,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_perfringens;t__Clostridium_perfringens_str._13,,,27,7,448,,,,,,12,,1,,,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,3,,,,,9,,2,,1,,,,,1,,,,,,,,,,,1,2,,,,,,,,,2,1,,,1,3,,,3,,,,,2,,,,,,,,,,1,,,,,,,,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_perfringens;t__Unknown,,,4,5,124,4,,1,1,2,6,,4,1,,2,1,,,2,,,1,6,5,,2,,3,1,,1,3,,,35,9,,,2,,,2,,,,1,,1,,,,6,3,,3,5,2,,,,5,2,2,,2,,,,1,1,,,19,,1,,,,,,,1,8,,,3,3,,,3,,,,1,,1,,2,1,2,,,,1,,,,5,1,9,34,,7,3,,,,,,8,1,1,,1,,,,6,,1,,,4,2,,,1,,9,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,11,,,2,,,3,,,,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,,,,,,,,,10,,,,,,,26,,,,,,,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_saccharobutylicum;t__Clostridium_saccharobutylicum_DSM_13864,,,62,,2,,,,,,28,,1,1,,,,,1,8,,,,,,,2,,,3,,,2,,,1,,,,,,,,,,1,,,,,,,,,1,,30,,,,,1,2,,,3,,1,,,8,,,148,,1,,,,,,2,7,,,,,2,,,3,9,2,,1,,,,1,5,,,37,,,1,,13,1,,,,,,5,,,,1,,2,1,1,,,,,,,,,,20,,,,,,,2,2,,,,,,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_saccharoperbutylacetonicum;t__Clostridium_saccharoperbutylacetonicum_N1-4(HMT),,,12,1,1,,2,,,1,12,,,,,,3,,,2,,,,,1,,,,,,,,,,,,,1,,,,,2,,,,1,,,,,,,,4,2,6,4,18,,,1,2,,,7,,,,,14,,,272,,,,,,,,6,2,,,,,,,,2,2,1,,1,,,,,6,,,16,,,1,,37,,1,2,,,2,5,1,,,,,6,,7,,,,,,,,,,18,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
